Type,unique sample ID or Species Name,Image file ,which object number/speciman number (MCZ...),Which slide in the powerpoint,KPg. 66.04; Modern=0,Ichthyolith Type,Shape,Spades,Anterior shape (old Base),Anterior Marginal Macro Texture,Anterior Marginal Micro Texture,Posterior shape (old Tip),Posterior Marginal Macro Texture,Posterior Marginal Micro Texture Description,Planes of Symmetry,# of cusps,Cusps definition,Cusp Similarity,Cusp Relative Length,Ridge System,Number of ridge segments,Number of independent ridges,Ridge Outgrowths,Ridge Orientation,Central Ridge(s) or trough Disparity,Central Ridge Directionality,Central Ridge Width,Non-Central Ridge Directionality,Non-Central Ridge Width,Central Ridge System Shape,Central Ridge System Shape planes of symmetry,Ridge length,Ridge Definition,Ridge/Ridge Height,Ridge/Trough Angularity,# of depression,Depression(s) type,Location of depression,Shape of dimple(s),Secondary Ridge Features,Surface texture location,Surface texture coverage,Overall base shape,Mound,Base width/length,Crown to base ratio,Number of Grooves,Root foramen opening shape,Root foramen location,Peduncle height:width,Crown:root angle,Base to crown connection location,Notes,Numerical Only Code (autofills),Ichthyolith Type,Shape,Spades,Anterior shape (old Base),Anterior Marginal Macro Texture,Anterior Marginal Micro Texture,Posterior shape (old Tip),Posterior Marginal Macro Texture,Posterior Marginal Micro Texture Description,Planes of Symmetry,# of cusps,Cusps definition,Cusp Similarity,Cusp Relative Length,Ridge System,Number of ridge segments,Number of independent ridges,Ridge Outgrowths,Ridge Orientation,Central Ridge(s) or trough Disparity,Central Ridge Directionality,Central Ridge Width,Non-Central Ridge Directionality,Non-Central Ridge Width,Central Ridge System Shape,Central Ridge System Shape planes of symmetry,Ridge length,Ridge Definition,Ridge/Ridge Height,Ridge/Trough Angularity,# of depression,Depression(s) type,Location of depression,Shape of dimple(s),Secondary Ridge Features,Surface texture location,Surface texture coverage,Overall base shape,Mound,Base width/length,Crown to base ratio,Number of Grooves,Root foramen opening shape,Root foramen location,Peduncle height:width,Crown:root angle,Base to crown connection location
Nub Spine,Dipturus_batis,"Gravendeel, Neer, and Brinkhuizen 18 (lateral)",,179,0,Z1.2.Denticle,A1.1 Spine,A2.0 Not a Spade/too broken to code,B1.2 Rounded,B2.1 Smooth,B3.1 Smooth,C1.3 Pointed,C2.1 Smooth,C3.1 Smooth,D1.2 one,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,F1.1 Smooth,G1.1 None,G2.1 None,G3.1 no ridge outgrowths,H1.0 Only one Ridge/No Ridges or too broken to code,I1.0 No ridges or too broken to code,I2.0 None or too broken to code,I3.0 None or too broken to code,J1.0 None/only one ridge or too broken to code,J2.0 None or too broken to code,K1.0 No Ridges or too broken to code,K2.0 No central shape or too broken to code,L1.1 No ridges,L2.0 No Ridges or too broken to code,L3.0 None or too broken to code,L4.0 No ridges or too broken to code,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.1 No Ridges,N2.0 None,N3.0 None,O1.8 Oval/oval like,O2.3 Longer than wide,O3.3 Base has a larger area,O4.5 Four,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.4 No Peduncle (sits flat on surface),O8.1 Perpendicular,O9.2 at center of crown,O10.0 Base not preserved/too broken to code,,,2,1,0,2,1,1,3,1,1,2,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,8,3,3,5,0,0,4,1,2,0
Oak Leaf,Oxynotus centrina,Reif,Pg. 120 H2,219,0,Z1.2.Denticle,A1.7 Irregular/ other,A2.0 Not a Spade/too broken to code,B1.2 Rounded,B2.2 Scalloped margin texture,B3.1 Smooth,C1.3 Pointed,C2.2 Scalloped margin texture,C3.1 Smooth,D1.1 None,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,F1.6 Branching (can tell directionality but ridges curve or intersect in more than 1 way),G1.7 six-ten,G2.5 four,G3.1 no ridge outgrowths,H1.5 Ridges intesect/branch,I1.4 Distinct shape/size from other ridges,I2.1 Straight,I3.1 Parallel,J1.1 Straight,J2.1 Parallel,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,"L1.5 Includes ridges described by a combination of 1,2, 3,",L2.3 Clearly Defined,L3.3 Variable ridge height,L4.4 Ridge profiles or troughs are variable or described by another shape,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,7,0,2,2,1,3,2,1,1,1,0,0,0,6,7,5,1,5,4,1,1,1,1,1,0,5,3,3,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Oblong Branching Crown,DSDP-596-P042-M41-2H-6W-85-87cm-g106_Hwell_N1of1,DSDP-596-P042-M41-2H-6W-85-87cm-g106_obj00011,11,,34.82,Z1.2.Denticle,A1.4 Spade,A2.2 Squared Spade,B1.4 Denticle lacks directionality/Cannot discern anterior,B2.1 Smooth,B3.1 Smooth,C1.4 Denticle lacks directionality/Cannot discern posterior,C2.4 Posterior is a vertex,C3.1 Smooth,D1.1 None,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,F1.4 Meandering ridges (ridges curve or intersect in more than 1 way/direction),G1.6 five,G2.2 one,G3.1 no ridge outgrowths,H1.5 Ridges intesect/branch,I1.1 No central ridge,I2.0 None or too broken to code,I3.0 None or too broken to code,J1.1 Straight,J2.1 Parallel,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.2 Ridge length=lateral length,L2.1 Not Clearly Defined,L3.2 equal ridge heights,L4.5 Ridge profiles or troughs are rectangular,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,4,2,4,1,1,4,4,1,1,1,0,0,0,4,6,2,1,5,1,0,0,1,1,1,0,2,1,2,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Pear Shaped Wedge,Carcharodon carcharias,Reif,Pg. 151 B5 (Central Large),290,0,Z1.2.Denticle,A1.4 Spade,A2.1 Rounded Spade,B1.2 Rounded,B2.1 Smooth,B3.1 Smooth,C1.3 Pointed,C2.3 Pointed margin texture,C3.1 Smooth,D1.2 one,E1.4 three,E2.2 Cusps defined by ridges,E3.2 Central cusp is distinct,E4.1 x < ¼ ,"F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)",G1.4 three,G2.4 three,G3.1 no ridge outgrowths,H1.2 Converges from anterior,I1.4 Distinct shape/size from other ridges,I2.1 Straight,I3.3 Triangular thinning from anterior,J1.2 Concave Curved,J2.3 Triangular thinning from anterior,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.2 Ridge length=lateral length,L2.3 Clearly Defined,L3.3 Variable ridge height,L4.1 Ridge profiles or trough are rounded,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,4,1,2,1,1,3,3,1,2,4,2,2,1,2,4,4,1,2,4,1,3,2,3,1,0,2,3,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Radial Angled Spines,Centroscyllium_nigrum,Castro,Pg. 96,23,0,Z1.2.Denticle,A1.1 Spine,A2.0 Not a Spade/too broken to code,B1.2 Rounded,B2.2 Scalloped margin texture,B3.1 Smooth,C1.3 Pointed,C2.4 Posterior is a vertex,C3.1 Smooth,D1.4 radial,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,F1.5 Spine,G1.7 six-ten,G2.7 six or more,G3.1 no ridge outgrowths,H1.6 Apex Radial (spine),I1.1 No central ridge,I2.0 None or too broken to code,I3.0 None or too broken to code,J1.1 Straight,J2.1 Parallel,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.2 Ridge length=lateral length,L2.3 Clearly Defined,L3.2 equal ridge heights,L4.5 Ridge profiles or troughs are rectangular,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.2 Mounded,,,2,1,0,2,2,1,3,4,1,4,1,0,0,0,5,7,7,1,6,1,0,0,1,1,1,0,2,3,2,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Raised Dimple,ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00042_edf,42,10,22.3102,Z1.2.Denticle,A1.3 Circular or oval,A2.0 Not a Spade/too broken to code,B1.4 Denticle lacks directionality/Cannot discern anterior,B2.4 anterior is a vertex,B3.1 Smooth,C1.4 Denticle lacks directionality/Cannot discern posterior,C2.0 Too broken to code,C3.0 Too broken to code,D1.1 None,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,F1.3 Geometric (Central branching pattern),G1.7 six-ten,G2.2 one,G3.1 no ridge outgrowths,H1.5 Ridges intesect/branch,I1.1 No central ridge,I2.0 None or too broken to code,I3.0 None or too broken to code,J1.1 Straight,J2.1 Parallel,K1.2 Circular/oval,K2.1 central shape but no plane of symmetry,"L1.5 Includes ridges described by a combination of 1,2, 3,",L2.3 Clearly Defined,L3.2 equal ridge heights,L4.5 Ridge profiles or troughs are rectangular,M1.2 one,M2.3 Dimples (depressions surrounded by ridges),M3.1 Central depression,M4.3 Teardrop (smooth curve),N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,3,0,4,4,1,4,0,0,1,1,0,0,0,3,7,2,1,5,1,0,0,1,1,2,1,5,3,2,5,2,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Raised Rectangle,Squatina guggenheim,"Vaz, D. F., & De Carvalho, M. R. (2013)",A (center),569,0,Z1.2.Denticle,A1.5 Diamond/Rectangle/(Can be asymmetrical/kite-like),A2.0 Not a Spade/too broken to code,B1.4 Denticle lacks directionality/Cannot discern anterior,B2.1 Smooth,B3.1 Smooth,C1.4 Denticle lacks directionality/Cannot discern posterior,C2.1 Smooth,C3.1 Smooth,D1.2 one,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,F1.1 Smooth,G1.1 None,G2.1 None,G3.1 no ridge outgrowths,H1.0 Only one Ridge/No Ridges or too broken to code,I1.0 No ridges or too broken to code,I2.0 None or too broken to code,I3.0 None or too broken to code,J1.0 None/only one ridge or too broken to code,J2.0 None or too broken to code,K1.8 Mound,K2.2 one,L1.1 No ridges,L2.0 No Ridges or too broken to code,L3.0 None or too broken to code,L4.0 No ridges or too broken to code,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.1 No Ridges,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.2 Mounded,,,2,5,0,4,1,1,4,1,1,2,1,0,0,0,1,1,1,1,0,0,0,0,0,0,8,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Rake,DSDP-596-P042-M41-2H-6W-85-87cm-g106_Hwell_N1of1,DSDP-596-P042-M41-2H-6W-85-87cm-g106_obj00009,9,,34.82,Z1.2.Denticle,A1.4 Spade,A2.2 Squared Spade,B1.3 Pointed (vertex),B2.1 Smooth,B3.1 Smooth,C1.1 Straight,C2.1 Smooth,C3.1 Smooth,D1.1 None,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,"F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)",G1.6 five,G2.6 five,G3.1 no ridge outgrowths,H1.1 Parallel,I1.1 No central ridge,I2.0 None or too broken to code,I3.0 None or too broken to code,J1.1 Straight,J2.1 Parallel,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.2 Ridge length=lateral length,L2.3 Clearly Defined,L3.3 Variable ridge height,L4.1 Ridge profiles or trough are rounded,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,4,2,3,1,1,1,1,1,1,1,0,0,0,2,6,6,1,1,1,0,0,1,1,1,0,2,3,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Ridged Circle,DSDP-596-P022-L43-2H-4W-129-131cm-g106_Hwell_N1of1,DSDP-596-P022-L43-2H-4W-129-131cm-g106_Hwell_N1of42_obj00029,29,45,22.257647,Z1.2.Denticle,A1.3 Circular or oval,A2.0 Not a Spade/too broken to code,B1.2 Rounded,B2.2 Scalloped margin texture,B3.1 Smooth,C1.3 Pointed,C2.1 Smooth,C3.1 Smooth,D1.2 one,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,"F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)",G1.4 three,G2.4 three,G3.3 two ridge outgrowths,H1.1 Parallel,I1.4 Distinct shape/size from other ridges,I2.1 Straight,I3.3 Triangular thinning from anterior,J1.1 Straight,J2.3 Triangular thinning from anterior,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.2 Ridge length=lateral length,L2.3 Clearly Defined,L3.2 equal ridge heights,L4.1 Ridge profiles or trough are rounded,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,3,0,2,2,1,3,1,1,2,1,0,0,0,2,4,4,3,1,4,1,3,1,3,1,0,2,3,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Round Bottomed Textured Tulip,Apristurus_profundorum,Castro,Pg. 311 (center),70,0,Z1.2.Denticle,A1.4 Spade,A2.3 Pointed Spade,B1.2 Rounded,B2.1 Smooth,B3.1 Smooth,C1.3 Pointed,C2.3 Pointed margin texture,C3.1 Smooth,D1.1 None,E1.2 one,E2.2 Cusps defined by ridges,E3.0 No cusps/one cusp or too broken to code,E4.2 ¼ <x<½,"F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)",G1.2 one,G2.2 one,G3.1 no ridge outgrowths,H1.0 Only one Ridge/No Ridges or too broken to code,I1.2 Only one Ridge,I2.1 Straight,I3.1 Parallel,J1.0 None/only one ridge or too broken to code,J2.0 None or too broken to code,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.2 Ridge length=lateral length,L2.3 Clearly Defined,L3.1 Only one ridge,L4.5 Ridge profiles or troughs are rectangular,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.4 Honeycomb surface texture,N2.2 Crown and ridges,N3.3 Greater than 70%,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,4,3,2,1,1,3,3,1,1,2,2,0,2,2,2,2,1,0,2,1,1,0,0,1,0,2,3,1,5,1,0,0,0,4,2,3,0,0,0,0,0,0,0,0,0,0
Round Ridged Trident,DSDP-596-P020-L40-2H-4W-55-57cm-g106_Hwell_N1of1,DSDP-596-P020-L40-2H-4W-55-57cm-g106_Hwell_N1of1_obj00015,15,27,20.233333,Z1.2.Denticle,A1.4 Spade,A2.1 Rounded Spade,B1.3 Pointed (vertex),B2.2 Scalloped margin texture,B3.1 Smooth,C1.2 Rounded,C2.2 Scalloped margin texture,C3.1 Smooth,D1.2 one,E1.2 one,E2.3 Some cusps defined by ridges,E3.0 No cusps/one cusp or too broken to code,E4.1 x < ¼ ,"F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)",G1.4 three,G2.4 three,G3.3 two ridge outgrowths,H1.1 Parallel,I1.4 Distinct shape/size from other ridges,I2.1 Straight,I3.1 Parallel,J1.1 Straight,J2.1 Parallel,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.2 Ridge length=lateral length,L2.3 Clearly Defined,L3.2 equal ridge heights,L4.3 Ridge profiles or troughs are funnel shapes (rounded with a skinnier point),M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,4,1,3,2,1,2,2,1,2,2,3,0,1,2,4,4,3,1,4,1,1,1,1,1,0,2,3,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Round Sided Trident,DSDP-596-P022-L43-2H-4W-129-131cm-g106_Hwell_N1of1,DSDP-596-P022-L43-2H-4W-129-131cm-g106_Hwell_N1of43_obj00033,33,45,22.257647,Z1.2.Denticle,A1.4 Spade,A2.1 Rounded Spade,B1.3 Pointed (vertex),B2.3 Pointed margin texture,B3.1 Smooth,C1.3 Pointed,C2.3 Pointed margin texture,C3.1 Smooth,D1.2 one,E1.4 three,E2.2 Cusps defined by ridges,E3.2 Central cusp is distinct,E4.1 x < ¼ ,"F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)",G1.4 three,G2.4 three,G3.1 no ridge outgrowths,H1.4 Diverges then converges,I1.4 Distinct shape/size from other ridges,I2.1 Straight,I3.3 Triangular thinning from anterior,J1.1 Straight,J2.1 Parallel,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.2 Ridge length=lateral length,L2.3 Clearly Defined,L3.2 equal ridge heights,L4.2 Ridge profiles or troughs are triangular,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,4,1,3,3,1,3,3,1,2,4,2,2,1,2,4,4,1,4,4,1,3,1,1,1,0,2,3,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Rounded Cone,Isistius brasiliensis,Reif,Pg. 124 B2,226,0,Z1.2.Denticle,A1.5 Diamond/Rectangle/(Can be asymmetrical/kite-like),A2.0 Not a Spade/too broken to code,B1.4 Denticle lacks directionality/Cannot discern anterior,B2.4 anterior is a vertex,B3.1 Smooth,C1.4 Denticle lacks directionality/Cannot discern posterior,C2.4 Posterior is a vertex,C3.1 Smooth,D1.2 one,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,F1.3 Geometric (Central branching pattern),G1.7 six-ten,G2.2 one,G3.1 no ridge outgrowths,H1.5 Ridges intesect/branch,I1.1 No central ridge,I2.0 None or too broken to code,I3.0 None or too broken to code,J1.5 Combination,J2.1 Parallel,K1.4 Quadrilateral,K2.2 one,"L1.5 Includes ridges described by a combination of 1,2, 3,",L2.3 Clearly Defined,L3.2 equal ridge heights,L4.5 Ridge profiles or troughs are rectangular,M1.2 one,M2.3 Dimples (depressions surrounded by ridges),M3.1 Central depression,M4.1 circle,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,5,0,4,4,1,4,4,1,2,1,0,0,0,3,7,2,1,5,1,0,0,5,1,4,2,5,3,2,5,2,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Shallow Ridged Branching Fan,DSDP-596-P043-M43-2H-6W-95-97cm-g106_Hwell_N1of1,DSDP-596-P043-M43-2H-6W-95-97cm-g106_obj00014,14,,35.34,Z1.2.Denticle,A1.8 “Fan-like”,A2.0 Not a Spade/too broken to code,B1.4 Denticle lacks directionality/Cannot discern anterior,B2.1 Smooth,B3.1 Smooth,C1.4 Denticle lacks directionality/Cannot discern posterior,C2.1 Smooth,C3.1 Smooth,D1.1 None,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,F1.6 Branching (can tell directionality but ridges curve or intersect in more than 1 way),G1.8 eleven or more,G2.2 one,G3.1 no ridge outgrowths,H1.5 Ridges intesect/branch,I1.1 No central ridge,I2.0 None or too broken to code,I3.0 None or too broken to code,J1.4 Meandering,J2.1 Parallel,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,"L1.5 Includes ridges described by a combination of 1,2, 3,",L2.3 Clearly Defined,L3.2 equal ridge heights,L4.2 Ridge profiles or troughs are triangular,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,8,0,4,1,1,4,1,1,1,1,0,0,0,6,8,2,1,5,1,0,0,4,1,1,0,5,3,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Shallow Ridged Circle,DSDP-596-P026-M08-2H-5W-42-44cm-g106_Hwell_N1of1,DSDP-596-P026-M08-2H-5W-42-44cm-g106_Hwell_N1of1_obj00007,7,66,24.668205,Z1.2.Denticle,A1.3 Circular or oval,A2.0 Not a Spade/too broken to code,B1.4 Denticle lacks directionality/Cannot discern anterior,B2.1 Smooth,B3.1 Smooth,C1.4 Denticle lacks directionality/Cannot discern posterior,C2.1 Smooth,C3.1 Smooth,D1.2 one,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,"F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)",G1.4 three,G2.4 three,G3.1 no ridge outgrowths,H1.1 Parallel,I1.4 Distinct shape/size from other ridges,I2.1 Straight,I3.1 Parallel,J1.1 Straight,J2.3 Triangular thinning from anterior,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.3 Ridge ends mid crown/ Ridge begins mid crown,L2.3 Clearly Defined,L3.2 equal ridge heights,L4.1 Ridge profiles or trough are rounded,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,3,0,4,1,1,4,1,1,2,1,0,0,0,2,4,4,1,1,4,1,1,1,3,1,0,3,3,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
