"Morphotype","Slide.number.info","Z1","Z2","A1","A2","A3","A4","B1","B2","B3","C1","C2","C3","D1","D2","E1","E2","E3","E4","E5","E6","E7","E8","E9","F1","F2","F3","F4","F5","F6","F7","F8","G2","G3","G4","G5","G6","G7","G8","H1","H2","H3","H4","I1","I2","I3","I4","J1","J2","J3","J4","K1","L1","L2","M1","M2","X","Z1.1","Z2.1","A1.1","A2.1","A3.1","A4.1","B1.1","B2.1","B3.1","C1.1","C2.1","C3.1","D1.1","D2.1","E1.1","E2.1","E3.1","E4.1","E5.1","E6.1","E7.1","E8.1","E9.1","F1.1","F2.1","F3.1","F4.1","F5.1","F6.1","F7.1","F8.1","G2.1","G3.1","G4.1","G5.1","G6.1","G7.1","G8.1","H1.1","H2.1","H3.1","H4.1","I1.1","I2.1","I3.1","I4.1","J1.1","J2.1","J3.1","J4.1","K1.1","L1.1","L2.1","M1.1","M2.1","MDS1","MDS2","MDS3"
"Extra-long straight triangle",152,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.4.Extra-long","A2.2.Mid-depth","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.2.Medium","F3.4.Full-length","F4.5.Full-length","F5.1.Straight","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.2.Medium","G3.4.Full-length","G4.5.Full-length","G5.1.Straight","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.5.(3/4)","J2.2.Medium","J3.1.Straight","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,4,2,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,2,4,5,1,1,1,0,2,4,5,1,1,1,0,1,0,0,0,0,0,0,0,5,2,1,0,1,0,0,1,1,-0.135263911044892,0.0171400511398726,0.0391980373852367
"Elongated extended concave root",153,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.4.Extra-long","A2.3.Deep","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.3.Asymmetrical","F2.3.Large","F3.4.Full-length","F4.5.Full-length","F5.1.Straight","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.3.Large","G3.1.Upper","G4.4.(3/4)","G5.4.Bottom-heavy (flared)","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.6.Full-length","J2.2.Medium","J3.2.Concave","J4.3.Extended-tip","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,4,3,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,3,3,4,5,1,1,1,0,3,1,4,4,1,1,0,1,0,0,0,0,0,0,0,6,2,2,3,1,0,0,1,1,-0.0842187689391872,0.116504846182631,-0.0268912912938046
"Funnel-shaped full root",154,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.4.Extra-long","A2.1.Flat","A3.1.Triangle","A4.4.Funnel","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.3.Large","F3.4.Full-length","F4.5.Full-length","F5.3.Middle-heavy","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.3.Large","G3.4.Full-length","G4.5.Full-length","G5.3.Middle-heavy","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.6.Full-length","J2.4.Total","J3.1.Straight","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,4,1,1,4,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,3,4,5,3,1,1,0,3,4,5,3,1,1,0,1,0,0,0,0,0,0,0,6,4,1,0,1,0,0,1,1,-0.194004720055163,0.0890875032838063,0.0159171699551774
"Squat 1/2 straight root cone",155,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.1.Squat","A2.3.Deep","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.1.No blades","F2.0.No blades or too broken to code","F3.0.No blades or too broken to code","F4.0.No blades or too broken to code","F5.0.No blades or too broken to code","F6.0.No blades or too broken to code","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.4.(1/2)","J2.2.Medium","J3.1.Straight","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.1.Tip material same as rest of tooth",0,1,1,1,3,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,1,0,1,0,0,2,1,0.120740187428923,-0.059215187688667,-0.0594943827656606
"squat dome root cone",156,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.1.Squat","A2.3.Deep","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.1.No blades","F2.0.No blades or too broken to code","F3.0.No blades or too broken to code","F4.0.No blades or too broken to code","F5.0.No blades or too broken to code","F6.0.No blades or too broken to code","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.2.(1/4)","J2.3.Wide","J3.4.Dome","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.2.Cap tip",0,1,1,1,3,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,4,0,1,0,0,1,2,0.186436181811751,-0.147255163530894,-0.0262997572496534
"1/4 dome root convex cone",158,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.1.Squat","A2.3.Deep","A3.1.Triangle","A4.3.Convex","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.1.No blades","F2.0.No blades or too broken to code","F3.0.No blades or too broken to code","F4.0.No blades or too broken to code","F5.0.No blades or too broken to code","F6.0.No blades or too broken to code","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.2.(1/4)","J2.3.Wide","J3.4.Dome","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.1.Tip material same as rest of tooth",0,1,1,1,3,1,3,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,4,0,1,0,0,2,1,0.140009375895455,-0.107832775224858,-0.0898716458973848
"Squat tucked base cone",159,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.1.Squat","A2.3.Deep","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.1.No blades","F2.0.No blades or too broken to code","F3.0.No blades or too broken to code","F4.0.No blades or too broken to code","F5.0.No blades or too broken to code","F6.0.No blades or too broken to code","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.2.(1/4)","J2.4.Total","J3.7.Flat-top","J4.0.Rootless/no modifiers or too broken to code","K1.3.Tucked","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.2.Cap tip",0,1,1,1,3,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,7,0,3,0,0,1,2,0.239867042271111,-0.19487362324877,-0.0215820895924987
"Squat convex cone 1/4 total root",160,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.1.Squat","A2.3.Deep","A3.1.Triangle","A4.3.Convex","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.1.No blades","F2.0.No blades or too broken to code","F3.0.No blades or too broken to code","F4.0.No blades or too broken to code","F5.0.No blades or too broken to code","F6.0.No blades or too broken to code","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.2.(1/4)","J2.4.Total","J3.7.Flat-top","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,1,3,1,3,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,7,0,1,0,0,1,1,0.164034514929946,-0.0724435467228763,-0.0907631278581164
"Convex cone total root",161,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.1.Squat","A2.3.Deep","A3.1.Triangle","A4.3.Convex","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.1.No blades","F2.0.No blades or too broken to code","F3.0.No blades or too broken to code","F4.0.No blades or too broken to code","F5.0.No blades or too broken to code","F6.0.No blades or too broken to code","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.4.(1/2)","J2.4.Total","J3.7.Flat-top","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.2.Cap tip",0,1,1,1,3,1,3,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,7,0,1,0,0,1,2,0.203834276189773,-0.124161603246095,0.00997021026078871
"1/2 total root cone",162,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.1.Squat","A2.3.Deep","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.1.No blades","F2.0.No blades or too broken to code","F3.0.No blades or too broken to code","F4.0.No blades or too broken to code","F5.0.No blades or too broken to code","F6.0.No blades or too broken to code","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.4.(1/2)","J2.4.Total","J3.7.Flat-top","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.2.Cap tip",0,1,1,1,3,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,7,0,1,0,0,1,2,0.19911109698808,-0.104708826028593,0.00117093949297996
"Squat rootless cone",164,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.1.Squat","A2.3.Deep","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.1.No blades","F2.0.No blades or too broken to code","F3.0.No blades or too broken to code","F4.0.No blades or too broken to code","F5.0.No blades or too broken to code","F6.0.No blades or too broken to code","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.1.Rootless","J2.0.Rootless or too broken to code","J3.0.Rootless or too broken to code","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.2.Cap tip",0,1,1,1,3,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0.219746497300685,-0.157447065590773,-0.0294832596040267
"Convex rootless cone",166,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.1.Squat","A2.3.Deep","A3.1.Triangle","A4.3.Convex","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.1.No blades","F2.0.No blades or too broken to code","F3.0.No blades or too broken to code","F4.0.No blades or too broken to code","F5.0.No blades or too broken to code","F6.0.No blades or too broken to code","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.1.Rootless","J2.0.Rootless or too broken to code","J3.0.Rootless or too broken to code","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.1.Tip material same as rest of tooth",0,1,1,1,3,1,3,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0.167125947366836,-0.117880824509021,-0.11234310960066
"Mounding cone",167,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.1.Squat","A2.3.Deep","A3.1.Triangle","A4.3.Convex","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.1.No blades","F2.0.No blades or too broken to code","F3.0.No blades or too broken to code","F4.0.No blades or too broken to code","F5.0.No blades or too broken to code","F6.0.No blades or too broken to code","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.6.Full-length","J2.4.Total","J3.1.Straight","J4.0.Rootless/no modifiers or too broken to code","K1.2.Flared","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.1.Tip material same as rest of tooth",0,1,1,1,3,1,3,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,4,1,0,2,0,0,2,1,0.167109551795976,0.0725491876189837,0.178160244503877
"Squat curved rootless cone",168,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.1.Squat","A2.3.Deep","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.2.Minor curve","C2.1.Whole-tooth","C3.4.Cone-curve","D1.1.One-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.1.No blades","F2.0.No blades or too broken to code","F3.0.No blades or too broken to code","F4.0.No blades or too broken to code","F5.0.No blades or too broken to code","F6.0.No blades or too broken to code","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.1.Rootless","J2.0.Rootless or too broken to code","J3.0.Rootless or too broken to code","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,1,3,1,1,1,0,0,2,1,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0.208499002522483,-0.0034822837188993,-0.0683555636567196
"Curved convex cone distinct cap",169,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.1.Squat","A2.3.Deep","A3.1.Triangle","A4.3.Convex","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.2.Minor curve","C2.1.Whole-tooth","C3.2.Curl-curve","D1.1.One-part","D2.1.Cone","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.1.No blades","F2.0.No blades or too broken to code","F3.0.No blades or too broken to code","F4.0.No blades or too broken to code","F5.0.No blades or too broken to code","F6.0.No blades or too broken to code","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.0.No blades or too broken to code","G3.0.No blades or too broken to code","G4.0.No blades or too broken to code","G5.0.No blades or too broken to code","G6.0.No blades or too broken to code","G7.0.No blades or too broken to code","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.3.(1/3)","J2.4.Total","J3.7.Flat-top","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.2.Cap tip",0,1,1,1,3,1,3,1,0,0,2,1,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,7,0,1,0,0,1,2,0.238354824108354,-0.0937193921703805,0.0306411996601425
